Row,MIOT Hospitals,Government Royapettah Hospital,Rajiv Gandhi Govt General Hospital,Sri Ramachandra Medical Centre,Frontline Hospital & Research Institute,Velammal Medical College Hospital,Dr Kamakshi Memorial Hospitals,Gleneagles Health City,Chettinad Hospital & Research Institute,Sree Balaji Medical College & Hospital,SRM Medical College (Kattankulathur),Hindu Mission Hospital,Saveetha Medical College & Hospital,Tagore Medical College & Hospital,Karpagam Hospital,A1-Airport
MIOT Hospitals,Inf,20.4954040431734,17.8742974391309,27.9125846297427,21.0948570962039,20.0796560062446,22.1669530680026,16.4201199472396,9.95350979785603,21.3084615531347,9.34303976636335,16.9755192006533,13.3614365778992,13.2501833638031,5.64642171759451,32.7544836029844
Government Royapettah Hospital,20.4954040431734,Inf,32.3392385832993,16.9257703066477,20.4352523373436,14.5537962997986,17.1537435703203,13.2490608591709,8.36725088862462,13.8001859244597,6.37180280356725,11.4725501842256,9.06639951818194,9.7133204234698,4.00778177940387,17.9184074516324
Rajiv Gandhi Govt General Hospital,17.8742974391309,32.3392385832993,Inf,15.399154686436,20.286611821946,13.8078716900641,14.7586539625272,11.5293130662452,7.2710123532102,12.1297864664039,5.45557977476503,10.0830188894423,8.35845073115959,8.44821244404577,3.92510684783775,15.6412999696049
Sri Ramachandra Medical Centre,27.9125846297427,16.9257703066477,15.399154686436,Inf,21.5704698740454,26.5810710240121,17.9654164580109,14.1691396294149,8.76244881567321,20.7385457622098,9.47159937306,16.9683727277888,16.2652396910464,12.5258907300019,7.12535171315785,26.3121753748459
Frontline Hospital & Research Institute,21.0948570962039,20.4352523373436,20.286611821946,21.5704698740454,Inf,21.621031287911,14.3309582660984,11.0633253406566,6.68115326313676,14.0523392932761,6.4412724878094,11.6933771213656,12.00302123243,9.00407762534428,6.63598490865003,18.0730396661361
Velammal Medical College Hospital,20.0796560062446,14.5537962997986,13.8078716900641,26.5810710240121,21.621031287911,Inf,13.9147893070298,11.2073631836307,6.91647383152012,16.3422725362045,8.21768450258764,14.0586952095704,17.6911788083305,10.2907346137486,8.92673674549951,18.9246127067076
Dr Kamakshi Memorial Hospitals,22.1669530680026,17.1537435703203,14.7586539625272,17.9654164580109,14.3309582660984,13.9147893070298,Inf,25.5628498659977,14.0725691215362,22.7429005409292,11.0828727704232,19.1798119379036,11.0802204758934,17.2342711452911,3.85574775724342,24.6777978938237
Gleneagles Health City,16.4201199472396,13.2490608591709,11.5293130662452,14.1691396294149,11.0633253406566,11.2073631836307,25.5628498659977,Inf,18.6432883455776,20.240567256366,12.9445296202522,19.5873657514621,9.94246256663226,21.5441723013687,2.9784728023682,18.3792846109062
Chettinad Hospital & Research Institute,9.95350979785603,8.36725088862462,7.2710123532102,8.76244881567321,6.68115326313676,6.91647383152012,14.0725691215362,18.6432883455776,Inf,12.6498303142462,13.2317981326338,13.5628516342831,6.77668921749877,18.596612838398,1.05779902432599,11.0504214144826
Sree Balaji Medical College & Hospital,21.3084615531347,13.8001859244597,12.1297864664039,20.7385457622098,14.0523392932761,16.3422725362045,22.7429005409292,20.240567256366,12.6498303142462,Inf,13.7256965668728,29.0398723808391,15.194758928861,19.3995392933986,5.4470226322163,25.8974039407277
SRM Medical College (Kattankulathur),9.34303976636335,6.37180280356725,5.45557977476503,9.47159937306,6.4412724878094,8.21768450258764,11.0828727704232,12.9445296202522,13.2317981326338,13.7256965668728,Inf,16.75595531949,10.8941678507858,19.4796922093112,3.54481211412505,10.6701547413282
Hindu Mission Hospital,16.9755192006533,11.4725501842256,10.0830188894423,16.9683727277888,11.6933771213656,14.0586952095704,19.1798119379036,19.5873657514621,13.5628516342831,29.0398723808391,16.75595531949,Inf,15.0750115387506,23.1957457975346,5.18253344716436,19.8308917140816
Saveetha Medical College & Hospital,13.3614365778992,9.06639951818194,8.35845073115959,16.2652396910464,12.00302123243,17.6911788083305,11.0802204758934,9.94246256663226,6.77668921749877,15.194758928861,10.8941678507858,15.0750115387506,Inf,11.0917631013636,10.7122189473046,14.0405927422782
Tagore Medical College & Hospital,13.2501833638031,9.7133204234698,8.44821244404577,12.5258907300019,9.00407762534428,10.2907346137486,17.2342711452911,21.5441723013687,18.596612838398,19.3995392933986,19.4796922093112,23.1957457975346,11.0917631013636,Inf,3.37507283089893,15.1689249074141
Karpagam Hospital,5.64642171759451,4.00778177940387,3.92510684783775,7.12535171315785,6.63598490865003,8.92673674549951,3.85574775724342,2.9784728023682,1.05779902432599,5.4470226322163,3.54481211412505,5.18253344716436,10.7122189473046,3.37507283089893,Inf,5.53927904248148
A1-Airport,32.7544836029844,17.9184074516324,15.6412999696049,26.3121753748459,18.0730396661361,18.9246127067076,24.6777978938237,18.3792846109062,11.0504214144826,25.8974039407277,10.6701547413282,19.8308917140816,14.0405927422782,15.1689249074141,5.53927904248148,Inf
