Row,MIOT Hospitals,Government Royapettah Hospital,Rajiv Gandhi Govt General Hospital,Sri Ramachandra Medical Centre,Frontline Hospital & Research Institute,Velammal Medical College Hospital,Dr Kamakshi Memorial Hospitals,Gleneagles Health City,Chettinad Hospital & Research Institute,Sree Balaji Medical College & Hospital,SRM Medical College (Kattankulathur),Hindu Mission Hospital,Saveetha Medical College & Hospital,Tagore Medical College & Hospital,Karpagam Hospital,A1-Airport
MIOT Hospitals,0,9.55396923075696,12.1626470045718,4.82499219114487,9.04077614844034,9.92690257773994,8.19071618018633,13.9057751290732,25.2266515299959,8.86464887128713,26.6856883226271,13.2123245114533,18.4307299953762,18.6205568919945,37.509660321025,3.08901954272796
Government Royapettah Hospital,9.55396923075696,0,3.20944883581781,13.2730028526877,9.60704680368992,16.5138428723251,12.9972136260019,18.6224821056684,29.1950998188756,17.7007864674336,35.0855176003806,21.9329976772303,27.3743628308807,25.7909407093089,43.6203081051418,12.1133342728008
Rajiv Gandhi Govt General Hospital,12.1626470045718,3.20944883581781,0,15.2768499344272,9.7394745508365,17.6882607770524,16.2051793340277,21.8186299877393,32.2968008738508,20.6446983395599,38.1748033902483,24.9275298177994,29.2187727537186,28.9782064558436,43.9537289908297,14.939910687187
Sri Ramachandra Medical Centre,4.82499219114487,13.2730028526877,15.2768499344272,0,8.65328893308439,5.45452779350479,12.0610006725497,17.1093856223361,28.1515328644041,9.34239379613073,26.3715723870102,13.221023917424,14.1055625901625,19.9051003230854,32.7330091183001,5.59130244801474
Frontline Hospital & Research Institute,9.04077614844034,9.60704680368992,9.7394745508365,8.65328893308439,0,8.61308530386883,16.8562773848521,22.7754510385095,34.0999599936143,17.2944369853903,34.8617432835536,21.4914102819275,20.8871483209669,27.5319451068084,34.2421167478534,11.9420370256442
Velammal Medical College Hospital,9.92690257773994,16.5138428723251,17.6882607770524,5.45452779350479,8.61308530386883,0,17.5149308775224,22.4752987193602,33.368835173885,14.0058379943128,29.6000619432687,17.2843157583943,12.3695200152467,24.4551660180984,27.728765193701,11.041180042266
Dr Kamakshi Memorial Hospitals,8.19071618018633,12.9972136260019,16.2051793340277,12.0610006725497,16.8562773848521,17.5149308775224,0,5.99081633584077,17.2622433685848,7.76754858450219,22.7344833521603,10.7846864345911,22.74003773187,12.9011716687592,44.2354133393879,6.49962176403326
Gleneagles Health City,13.9057751290732,18.6224821056684,21.8186299877393,17.1093856223361,22.7754510385095,22.4752987193602,5.99081633584077,0,11.3310059129047,9.78086601638661,19.1522064787707,10.3873644605687,25.252332397818,8.67427343216635,47.9580027111855,11.6099036499477
Chettinad Hospital & Research Institute,25.2266515299959,29.1950998188756,32.2968008738508,28.1515328644041,34.0999599936143,33.368835173885,17.2622433685848,11.3310059129047,0,19.6791704532468,18.6521145813571,18.0919731534834,33.8012243263706,11.3798224576353,57.2384729778976,22.8025356518624
Sree Balaji Medical College & Hospital,8.86464887128713,17.7007864674336,20.6446983395599,9.34239379613073,17.2944369853903,14.0058379943128,7.76754858450219,9.78086601638661,19.6791704532468,0,17.8226442050331,4.3491571927097,15.5671690941281,10.5686235372846,38.2049024140121,5.80903298320232
SRM Medical College (Kattankulathur),26.6856883226271,35.0855176003806,38.1748033902483,26.3715723870102,34.8617432835536,29.6000619432687,22.7344833521603,19.1522064787707,18.6521145813571,17.8226442050331,0,13.4822317232834,23.1330707435652,10.4908894752644,45.5205515379201,23.6153186664627
Hindu Mission Hospital,13.2123245114533,21.9329976772303,24.9275298177994,13.221023917424,21.4914102819275,17.2843157583943,10.7846864345911,10.3873644605687,18.0919731534834,4.3491571927097,13.4822317232834,0,15.739811917039,7.45023836825084,39.1470158884284,10.1569737824501
Saveetha Medical College & Hospital,18.4307299953762,27.3743628308807,29.2187727537186,14.1055625901625,20.8871483209669,12.3695200152467,22.74003773187,25.252332397818,33.8012243263706,15.5671690941281,23.1330707435652,15.739811917039,0,22.7158753005252,23.5240038662519,17.3131579158053
Tagore Medical College & Hospital,18.6205568919945,25.7909407093089,28.9782064558436,19.9051003230854,27.5319451068084,24.4551660180984,12.9011716687592,8.67427343216635,11.3798224576353,10.5686235372846,10.4908894752644,7.45023836825084,22.7158753005252,0,46.2377919769938,15.6042537387469
Karpagam Hospital,37.509660321025,43.6203081051418,43.9537289908297,32.7330091183001,34.2421167478534,27.728765193701,44.2354133393879,47.9580027111855,57.2384729778976,38.2049024140121,45.5205515379201,39.1470158884284,23.5240038662519,46.2377919769938,0,37.8816457363388
A1-Airport,3.08901954272796,12.1133342728008,14.939910687187,5.59130244801474,11.9420370256442,11.041180042266,6.49962176403326,11.6099036499477,22.8025356518624,5.80903298320232,23.6153186664627,10.1569737824501,17.3131579158053,15.6042537387469,37.8816457363388,0
