Hospital 1,Hospital 2,Hospital 3,Hospital 4,Hospital 5,Hospital 6,Hospital 7,Hospital 8,Hospital 9,Hospital 10,Hospital 11,Hospital 12,Hospital 13,Hospital 14,Hospital 15,Airport
0,9.553969231,12.162647,4.824992191,9.040776148,9.926902578,8.19071618,13.90577513,25.22665153,8.864648871,26.68568832,13.21232451,18.43073,18.62055689,37.50966032,3.089019543
9.553969231,0,3.209448836,13.27300285,9.607046804,16.51384287,12.99721363,18.62248211,29.19509982,17.70078647,35.0855176,21.93299768,27.37436283,25.79094071,43.62030811,12.11333427
12.162647,3.209448836,0,15.27684993,9.739474551,17.68826078,16.20517933,21.81862999,32.29680087,20.64469834,38.17480339,24.92752982,29.21877275,28.97820646,43.95372899,14.93991069
4.824992191,13.27300285,15.27684993,0,8.653288933,5.454527794,12.06100067,17.10938562,28.15153286,9.342393796,26.37157239,13.22102392,14.10556259,19.90510032,32.73300912,5.591302448
9.040776148,9.607046804,9.739474551,8.653288933,0,8.613085304,16.85627738,22.77545104,34.09995999,17.29443699,34.86174328,21.49141028,20.88714832,27.53194511,34.24211675,11.94203703
9.926902578,16.51384287,17.68826078,5.454527794,8.613085304,0,17.51493088,22.47529872,33.36883517,14.00583799,29.60006194,17.28431576,12.36952002,24.45516602,27.72876519,11.04118004
8.19071618,12.99721363,16.20517933,12.06100067,16.85627738,17.51493088,0,5.990816336,17.26224337,7.767548585,22.73448335,10.78468643,22.74003773,12.90117167,44.23541334,6.499621764
13.90577513,18.62248211,21.81862999,17.10938562,22.77545104,22.47529872,5.990816336,0,11.33100591,9.780866016,19.15220648,10.38736446,25.2523324,8.674273432,47.95800271,11.60990365
25.22665153,29.19509982,32.29680087,28.15153286,34.09995999,33.36883517,17.26224337,11.33100591,0,19.67917045,18.65211458,18.09197315,33.80122433,11.37982246,57.23847298,22.80253565
8.864648871,17.70078647,20.64469834,9.342393796,17.29443699,14.00583799,7.767548585,9.780866016,19.67917045,0,17.82264421,4.349157193,15.56716909,10.56862354,38.20490241,5.809032983
26.68568832,35.0855176,38.17480339,26.37157239,34.86174328,29.60006194,22.73448335,19.15220648,18.65211458,17.82264421,0,13.48223172,23.13307074,10.49088948,45.52055154,23.61531867
13.21232451,21.93299768,24.92752982,13.22102392,21.49141028,17.28431576,10.78468643,10.38736446,18.09197315,4.349157193,13.48223172,0,15.73981192,7.450238368,39.14701589,10.15697378
18.43073,27.37436283,29.21877275,14.10556259,20.88714832,12.36952002,22.74003773,25.2523324,33.80122433,15.56716909,23.13307074,15.73981192,0,22.7158753,23.52400387,17.31315792
18.62055689,25.79094071,28.97820646,19.90510032,27.53194511,24.45516602,12.90117167,8.674273432,11.37982246,10.56862354,10.49088948,7.450238368,22.7158753,0,46.23779198,15.60425374
37.50966032,43.62030811,43.95372899,32.73300912,34.24211675,27.72876519,44.23541334,47.95800271,57.23847298,38.20490241,45.52055154,39.14701589,23.52400387,46.23779198,0,37.88164574
3.089019543,12.11333427,14.93991069,5.591302448,11.94203703,11.04118004,6.499621764,11.60990365,22.80253565,5.809032983,23.61531867,10.15697378,17.31315792,15.60425374,37.88164574,0
