Row,MIOT Hospitals,Government Royapettah Hospital,Rajiv Gandhi Govt General Hospital,Sri Ramachandra Medical Centre,Frontline Hospital & Research Institute,Velammal Medical College Hospital,Dr Kamakshi Memorial Hospitals,Gleneagles Health City,Chettinad Hospital & Research Institute,Sree Balaji Medical College & Hospital,SRM Medical College (Kattankulathur),Hindu Mission Hospital,Saveetha Medical College & Hospital,Tagore Medical College & Hospital,Karpagam Hospital,A1-Airport
MIOT Hospitals,Inf,25.0074304985913,22.3834893584505,32.4274138531512,25.6073247780844,24.5913386833298,26.6800729407791,20.9268254817404,14.4303323267683,25.8210723193524,13.8140621803969,21.4832735341325,17.8592199508888,17.7475092812118,10.0585101463088,37.2697299646578
Government Royapettah Hospital,25.0074304985913,Inf,36.8544645201933,21.4334360587645,24.94723106524,19.0558146287799,21.661807058131,17.7463821012922,12.8271521308851,18.2996637644242,10.7996312541832,15.9607379451257,13.5345157437958,14.1879567488703,8.37330356672879,22.4276625650001
Rajiv Gandhi Govt General Hospital,22.3834893584505,36.8544645201933,Inf,19.9035457502728,24.7984697386849,18.307377719279,19.2612902406234,16.0178537345814,11.7150940798461,16.6217926037975,9.86308215925428,14.5609714189903,12.8182400193248,12.9091332235308,8.28779726536798,20.1462900359095
Sri Ramachandra Medical Centre,32.4274138531512,21.4334360587645,19.9035457502728,Inf,26.0832468107066,31.0956775658522,22.4747382168833,18.6699161397417,13.227153580157,25.2507585467306,13.9439112390601,21.4761143986932,20.7716280820519,17.0199354519886,11.5670197476857,30.8267280526606
Frontline Hospital & Research Institute,25.6073247780844,24.94723106524,24.7984697386849,26.0832468107066,Inf,26.1338391542835,18.8322705770649,15.5488286013809,11.1149496751092,18.5527165112958,10.8704776656219,16.182912412879,16.4943349153797,13.4715134762994,11.0689357172624,22.5825113188991
Velammal Medical College Hospital,24.5913386833298,19.0558146287799,18.307377719279,31.0956775658522,26.1338391542835,Inf,18.4146823685029,15.6938401128499,11.3545387380389,20.8488200758158,12.6756522093141,18.5590944322837,22.2001014212719,14.7704311797833,13.3933147198171,23.4351482211936
Dr Kamakshi Memorial Hospitals,26.6800729407791,21.661807058131,19.2612902406234,22.4747382168833,18.8322705770649,18.4146823685029,Inf,30.0772335951873,18.5730162655112,27.2563097379826,15.5685100565659,23.6906277621365,15.5658396118979,21.7424702186046,8.21602236050238,29.191940652449
Gleneagles Health City,20.9268254817404,17.7463821012922,16.0178537345814,18.6699161397417,15.5488286013809,15.6938401128499,30.0772335951873,Inf,23.1534951784912,24.7523869033783,17.4405369761871,24.0985964702851,14.4191871505333,26.0569330083064,7.30475829947913,22.8891630442537
Chettinad Hospital & Research Institute,14.4303323267683,12.8271521308851,11.7150940798461,13.227153580157,11.1149496751092,11.3545387380389,18.5730162655112,23.1534951784912,Inf,17.1444758270047,17.7290473228828,18.0614340771406,11.2122459881137,23.1067630520826,5.2823298346254,15.5358358716014
Sree Balaji Medical College & Hospital,25.8210723193524,18.2996637644242,16.6217926037975,25.2507585467306,18.5527165112958,20.8488200758158,27.2563097379826,24.7523869033783,17.1444758270047,Inf,18.2248986098972,33.5548435003576,19.6986177878878,23.910583628003,9.8543147413079,30.411866711087
SRM Medical College (Kattankulathur),13.8140621803969,10.7996312541832,9.86308215925428,13.9439112390601,10.8704776656219,12.6756522093141,15.5685100565659,17.4405369761871,17.7290473228828,18.2248986098972,Inf,21.2633109596632,15.3784859293321,23.9908170673698,7.89378751811925,15.1528310768167
Hindu Mission Hospital,21.4832735341325,15.9607379451257,14.5609714189903,21.4761143986932,16.182912412879,18.5590944322837,23.6906277621365,24.0985964702851,18.0614340771406,33.5548435003576,21.2633109596632,Inf,19.5785467959108,27.7093570243147,9.58312298733291,24.3423524043335
Saveetha Medical College & Hospital,17.8592199508888,13.5345157437958,12.8182400193248,20.7716280820519,16.4943349153797,22.2001014212719,15.5658396118979,14.4191871505333,11.2122459881137,19.6986177878878,15.3784859293321,19.5785467959108,Inf,15.5774611454403,15.1952100062406,18.5409292082344
Tagore Medical College & Hospital,17.7475092812118,14.1879567488703,12.9091332235308,17.0199354519886,13.4715134762994,14.7704311797833,21.7424702186046,26.0569330083064,23.1067630520826,23.910583628003,23.9908170673698,27.7093570243147,15.5774611454403,Inf,7.71754337365359,19.6727147041598
Karpagam Hospital,10.0585101463088,8.37330356672879,8.28779726536798,11.5670197476857,11.0689357172624,13.3933147198171,8.21602236050238,7.30475829947913,5.2823298346254,9.8543147413079,7.89378751811925,9.58312298733291,15.1952100062406,7.71754337365359,Inf,9.94881700368277
A1-Airport,37.2697299646578,22.4276625650001,20.1462900359095,30.8267280526606,22.5825113188991,23.4351482211936,29.191940652449,22.8891630442537,15.5358358716014,30.411866711087,15.1528310768167,24.3423524043335,18.5409292082344,19.6727147041598,9.94881700368277,Inf
