Row,MIOT Hospitals,Government Royapettah Hospital,Rajiv Gandhi Govt General Hospital,Sri Ramachandra Medical Centre,Frontline Hospital & Research Institute,Velammal Medical College Hospital,Dr Kamakshi Memorial Hospitals,Gleneagles Health City,Chettinad Hospital & Research Institute,Sree Balaji Medical College & Hospital,SRM Medical College (Kattankulathur),Hindu Mission Hospital,Saveetha Medical College & Hospital,Tagore Medical College & Hospital,Karpagam Hospital,A1-Airport
MIOT Hospitals,Inf,28.0211539347729,25.4000473307304,35.4383345213423,28.6206069878035,27.6054058978442,29.6927029596022,23.9458698388392,17.4792596894556,28.8342114447343,16.8687896579629,24.5012690922529,20.8871864694987,20.7759332554026,13.172171609194,40.2802334945839
Government Royapettah Hospital,28.0211539347729,Inf,39.8649884748989,24.4515201982472,27.9610022289431,22.0795461913981,24.6794934619198,20.7748107507704,15.8930007802242,21.3259358160592,13.8975526951668,18.9983000758252,16.5921494097815,17.2390703150693,11.5335316710034,25.444157343232
Rajiv Gandhi Govt General Hospital,25.4000473307304,39.8649884748989,Inf,22.9249045780356,27.8123617135455,21.3336215816637,22.2844038541268,19.0550629578448,14.7967622448097,19.6555363580034,12.9813296663646,17.6087687810418,15.8842006227591,15.9739623356453,11.4508567394373,23.1670498612044
Sri Ramachandra Medical Centre,35.4383345213423,24.4515201982472,22.9249045780356,Inf,29.0962197656449,34.1068209156116,25.4911663496104,21.6948895210145,16.2881987072727,28.2642956538093,16.9973492646595,24.4941226193883,23.7909895826459,20.0516406216014,14.6511016047574,33.8379252664454
Frontline Hospital & Research Institute,28.6206069878035,27.9610022289431,27.8123617135455,29.0962197656449,Inf,29.1467811795105,21.856708157698,18.5890752322561,14.2069031547363,21.5780891848756,13.9670223794089,19.2191270129652,19.5287711240295,16.5298275169438,14.1617348002496,25.5987895577356
Velammal Medical College Hospital,27.6054058978442,22.0795461913981,21.3336215816637,34.1068209156116,29.1467811795105,Inf,21.4405391986293,18.7331130752302,14.4422237231197,23.868022427804,15.7434343941872,21.5844451011699,25.21692869993,17.8164845053481,16.452486637099,26.4503625983071
Dr Kamakshi Memorial Hospitals,29.6927029596022,24.6794934619198,22.2844038541268,25.4911663496104,21.856708157698,21.4405391986293,Inf,33.0885997575972,21.5983190131358,30.2686504325288,18.6086226620227,26.7055618295031,18.6059703674929,24.7600210368906,11.381497648843,32.2035477854232
Gleneagles Health City,23.9458698388392,20.7748107507704,19.0550629578448,21.6948895210145,18.5890752322561,18.7331130752302,33.0885997575972,Inf,26.1690382371771,27.7663171479655,20.4702795118517,27.1131156430616,17.4682124582318,29.0699221929683,10.5042226939677,25.9050345025058
Chettinad Hospital & Research Institute,17.4792596894556,15.8930007802242,14.7967622448097,16.2881987072727,14.2069031547363,14.4422237231197,21.5983190131358,26.1690382371771,Inf,20.1755802058457,20.7575480242333,21.0886015258826,14.3024391090983,26.1223627299975,8.58354891592552,18.5761713060821
Sree Balaji Medical College & Hospital,28.8342114447343,21.3259358160592,19.6555363580034,28.2642956538093,21.5780891848756,23.868022427804,30.2686504325288,27.7663171479655,20.1755802058457,Inf,21.2514464584723,36.5656222724386,22.7205088204605,26.9252891849981,12.9727725238158,33.4231538323272
SRM Medical College (Kattankulathur),16.8687896579629,13.8975526951668,12.9813296663646,16.9973492646595,13.9670223794089,15.7434343941872,18.6086226620227,20.4702795118517,20.7575480242333,21.2514464584723,Inf,24.2817052110895,18.4199177423853,27.0054421009108,11.0705620057246,18.1959046329277
Hindu Mission Hospital,24.5012690922529,18.9983000758252,17.6087687810418,24.4941226193883,19.2191270129652,21.5844451011699,26.7055618295031,27.1131156430616,21.0886015258826,36.5656222724386,24.2817052110895,Inf,22.6007614303502,30.7214956891341,12.7082833387639,27.3566416056811
Saveetha Medical College & Hospital,20.8871864694987,16.5921494097815,15.8842006227591,23.7909895826459,19.5287711240295,25.21692869993,18.6059703674929,17.4682124582318,14.3024391090983,22.7205088204605,18.4199177423853,22.6007614303502,Inf,18.6175129929631,18.2379688389041,21.5663426338778
Tagore Medical College & Hospital,20.7759332554026,17.2390703150693,15.9739623356453,20.0516406216014,16.5298275169438,17.8164845053481,24.7600210368906,29.0699221929683,26.1223627299975,26.9252891849981,27.0054421009108,30.7214956891341,18.6175129929631,Inf,10.9008227224985,22.6946747990137
Karpagam Hospital,13.172171609194,11.5335316710034,11.4508567394373,14.6511016047574,14.1617348002496,16.452486637099,11.381497648843,10.5042226939677,8.58354891592552,12.9727725238158,11.0705620057246,12.7082833387639,18.2379688389041,10.9008227224985,Inf,13.065028934081
A1-Airport,40.2802334945839,25.444157343232,23.1670498612044,33.8379252664454,25.5987895577356,26.4503625983071,32.2035477854232,25.9050345025058,18.5761713060821,33.4231538323272,18.1959046329277,27.3566416056811,21.5663426338778,22.6946747990137,13.065028934081,Inf
