Row,MIOT Hospitals,Government Royapettah Hospital,Rajiv Gandhi Govt General Hospital,Sri Ramachandra Medical Centre,Frontline Hospital & Research Institute,Velammal Medical College Hospital,Dr Kamakshi Memorial Hospitals,Gleneagles Health City,Chettinad Hospital & Research Institute,Sree Balaji Medical College & Hospital,SRM Medical College (Kattankulathur),Hindu Mission Hospital,Saveetha Medical College & Hospital,Tagore Medical College & Hospital,Karpagam Hospital,A1-Airport
MIOT Hospitals,Inf,17.8742974391309,20.4954040431734,20.0796560062446,21.5704698740454,26.5810710240121,21.3084615531347,22.1669530680026,16.4201199472396,20.7385457622098,13.7256965668728,21.3084615531347,16.2652396910464,19.3995392933986,7.12535171315785,26.3121753748459
Government Royapettah Hospital,17.8742974391309,Inf,20.286611821946,20.4954040431734,20.286611821946,20.4352523373436,20.4954040431734,17.1537435703203,13.2490608591709,20.4954040431734,11.4725501842256,13.8001859244597,16.2652396910464,17.1537435703203,6.63598490865003,20.4954040431734
Rajiv Gandhi Govt General Hospital,20.4954040431734,20.286611821946,Inf,16.9257703066477,20.4352523373436,20.286611821946,17.1537435703203,13.2490608591709,8.36725088862462,13.8001859244597,6.37180280356725,12.1297864664039,15.399154686436,9.7133204234698,6.63598490865003,17.8742974391309
Sri Ramachandra Medical Centre,20.0796560062446,20.4954040431734,16.9257703066477,Inf,21.0948570962039,20.0796560062446,22.1669530680026,17.9654164580109,14.1691396294149,21.3084615531347,16.75595531949,20.7385457622098,17.6911788083305,19.3995392933986,8.92673674549951,27.9125846297427
Frontline Hospital & Research Institute,21.5704698740454,20.286611821946,20.4352523373436,21.0948570962039,Inf,21.5704698740454,21.0948570962039,14.3309582660984,11.0633253406566,21.0948570962039,11.6933771213656,14.0523392932761,17.6911788083305,13.2501833638031,8.92673674549951,21.0948570962039
Velammal Medical College Hospital,26.5810710240121,20.4352523373436,20.286611821946,20.0796560062446,21.5704698740454,Inf,17.9654164580109,14.1691396294149,8.76244881567321,20.7385457622098,14.0586952095704,16.3422725362045,16.2652396910464,16.3422725362045,10.7122189473046,26.3121753748459
Dr Kamakshi Memorial Hospitals,21.3084615531347,20.4954040431734,17.1537435703203,22.1669530680026,21.0948570962039,17.9654164580109,Inf,20.240567256366,18.6432883455776,19.1798119379036,17.2342711452911,22.7429005409292,15.194758928861,21.5441723013687,7.12535171315785,22.1669530680026
Gleneagles Health City,22.1669530680026,17.1537435703203,13.2490608591709,17.9654164580109,14.3309582660984,14.1691396294149,20.240567256366,Inf,18.596612838398,22.7429005409292,19.4796922093112,20.240567256366,15.194758928861,19.5873657514621,5.4470226322163,24.6777978938237
Chettinad Hospital & Research Institute,16.4201199472396,13.2490608591709,8.36725088862462,14.1691396294149,11.0633253406566,8.76244881567321,18.6432883455776,18.596612838398,Inf,18.6432883455776,18.596612838398,18.596612838398,13.5628516342831,18.6432883455776,5.18253344716436,18.3792846109062
Sree Balaji Medical College & Hospital,20.7385457622098,20.4954040431734,13.8001859244597,21.3084615531347,21.0948570962039,20.7385457622098,19.1798119379036,22.7429005409292,18.6432883455776,Inf,16.75595531949,19.3995392933986,15.0750115387506,23.1957457975346,10.7122189473046,21.3084615531347
SRM Medical College (Kattankulathur),13.7256965668728,11.4725501842256,6.37180280356725,16.75595531949,11.6933771213656,14.0586952095704,17.2342711452911,19.4796922093112,18.596612838398,16.75595531949,Inf,19.4796922093112,15.0750115387506,16.75595531949,10.7122189473046,13.7256965668728
Hindu Mission Hospital,21.3084615531347,13.8001859244597,12.1297864664039,20.7385457622098,14.0523392932761,16.3422725362045,22.7429005409292,20.240567256366,18.596612838398,19.3995392933986,19.4796922093112,Inf,15.194758928861,19.3995392933986,10.7122189473046,25.8974039407277
Saveetha Medical College & Hospital,16.2652396910464,16.2652396910464,15.399154686436,17.6911788083305,17.6911788083305,16.2652396910464,15.194758928861,15.194758928861,13.5628516342831,15.0750115387506,15.0750115387506,15.194758928861,Inf,15.0750115387506,8.92673674549951,16.2652396910464
Tagore Medical College & Hospital,19.3995392933986,17.1537435703203,9.7133204234698,19.3995392933986,13.2501833638031,16.3422725362045,21.5441723013687,19.5873657514621,18.6432883455776,23.1957457975346,16.75595531949,19.3995392933986,15.0750115387506,Inf,10.7122189473046,19.3995392933986
Karpagam Hospital,7.12535171315785,6.63598490865003,6.63598490865003,8.92673674549951,8.92673674549951,10.7122189473046,7.12535171315785,5.4470226322163,5.18253344716436,10.7122189473046,10.7122189473046,10.7122189473046,8.92673674549951,10.7122189473046,Inf,7.12535171315785
A1-Airport,26.3121753748459,20.4954040431734,17.8742974391309,27.9125846297427,21.0948570962039,26.3121753748459,22.1669530680026,24.6777978938237,18.3792846109062,21.3084615531347,13.7256965668728,25.8974039407277,16.2652396910464,19.3995392933986,7.12535171315785,Inf
