Row,MIOT Hospitals,Government Royapettah Hospital,Rajiv Gandhi Govt General Hospital,Sri Ramachandra Medical Centre,Frontline Hospital & Research Institute,Velammal Medical College Hospital,Dr Kamakshi Memorial Hospitals,Gleneagles Health City,Chettinad Hospital & Research Institute,Sree Balaji Medical College & Hospital,SRM Medical College (Kattankulathur),Hindu Mission Hospital,Saveetha Medical College & Hospital,Tagore Medical College & Hospital,Karpagam Hospital,A1-Airport
MIOT Hospitals,0,15.3720958403896,12.7634180665748,15.3814303712447,13.4782811242293,10.2795199846497,16.6321974557893,14.1815325160271,25.2367810419779,14.1673859872756,26.6872930763202,13.2138060639968,18.9305547813074,19.4332724085717,37.5580013094449,10.4162946391596
Government Royapettah Hospital,15.3720958403896,0,19.3465213545264,14.3789614219018,12.9489233866543,18.2201321075587,17.7446854109433,18.9880299618426,29.9534880185732,18.4186181020441,35.4152294005137,22.0499436601433,27.3785654428502,25.8983852947611,43.8491635515433,12.6429887734849
Rajiv Gandhi Govt General Hospital,12.7634180665748,19.3465213545264,0,16.4824516885055,12.8164956395077,18.3525598547053,16.2066624618197,21.8319309414862,32.4045486546934,20.9102353032514,38.2949664361985,24.9938555322696,29.3824125245897,29.0003895451268,43.9815912986899,15.2516665472997
Sri Ramachandra Medical Centre,15.3814303712447,14.3789614219018,16.4824516885055,0,13.8657683395852,14.7518947688848,13.0157083713312,18.0518170083905,28.4403915352408,13.689641062432,26.7032556407074,13.6915509888404,17.8240478087515,19.9110173334153,33.1832929872058,7.91401173387283
Frontline Hospital & Research Institute,13.4782811242293,12.9489233866543,12.8164956395077,13.8657683395852,0,14.1078167265892,17.2314923286267,22.8470937206929,34.1064569514142,17.9054250197275,34.9736420052109,21.6435941781,20.9826053191155,27.6613330404348,36.3418504975699,12.1297956911683
Velammal Medical College Hospital,10.2795199846497,18.2201321075587,18.3525598547053,14.7518947688848,14.1078167265892,0,17.5155284660545,22.5639134158409,33.6060606579089,14.7969215896355,30.7665474816777,18.3549951870225,19.5600903836673,24.5744615315974,35.8935238814986,11.0458302415195
Dr Kamakshi Memorial Hospitals,16.6321974557893,17.7446854109433,16.2066624618197,13.0157083713312,17.2314923286267,17.5155284660545,0,17.5484146008888,17.3218222487455,15.1338436273008,23.3920611440236,12.1167057772119,23.3347176786303,14.6650897680071,44.7940097908498,11.2797357229143
Gleneagles Health City,14.1815325160271,18.9880299618426,21.8319309414862,18.0518170083905,22.8470937206929,22.5639134158409,17.5484146008888,0,20.0540958898016,13.758364920343,19.1651629074308,14.1300232090963,25.3480351105147,17.8376028288196,47.9857684303987,12.490438099874
Chettinad Hospital & Research Institute,25.2367810419779,29.9534880185732,32.4045486546934,28.4403915352408,34.1064569514142,33.6060606579089,17.3218222487455,20.0540958898016,0,21.1118719292913,21.8707119328997,18.8300608258861,33.8317850705224,20.0052793450711,57.2389890419118,22.9409095628524
Sree Balaji Medical College & Hospital,14.1673859872756,18.4186181020441,20.9102353032514,13.689641062432,17.9054250197275,14.7969215896355,15.1338436273008,13.758364920343,21.1118719292913,0,17.8313889159931,18.0188619055354,20.0889691097487,11.7993955609605,39.0911729603801,11.9536684140151
SRM Medical College (Kattankulathur),26.6872930763202,35.4152294005137,38.2949664361985,26.7032556407074,34.9736420052109,30.7665474816777,23.3920611440236,19.1651629074308,21.8707119328997,17.8313889159931,0,17.9411278435153,29.2220436403224,20.9324700915343,46.6570746098171,23.6316771882354
Hindu Mission Hospital,13.2138060639968,22.0499436601433,24.9938555322696,13.6915509888404,21.6435941781,18.3549951870225,12.1167057772119,14.1300232090963,18.8300608258861,18.0188619055354,17.9411278435153,0,19.9163262868378,14.9177807299943,39.2638157832909,10.158190175912
Saveetha Medical College & Hospital,18.9305547813074,27.3785654428502,29.3824125245897,17.8240478087515,20.9826053191155,19.5600903836673,23.3347176786303,25.3480351105147,33.8317850705224,20.0889691097487,29.2220436403224,19.9163262868378,0,23.1900502852898,40.0982852089477,19.6968650381772
Tagore Medical College & Hospital,19.4332724085717,25.8983852947611,29.0003895451268,19.9110173334153,27.6613330404348,24.5744615315974,14.6650897680071,17.8376028288196,20.0052793450711,11.7993955609605,20.9324700915343,14.9177807299943,23.1900502852898,0,46.2398791667772,16.3776565204869
Karpagam Hospital,37.5580013094449,43.8491635515433,43.9815912986899,33.1832929872058,36.3418504975699,35.8935238814986,44.7940097908498,47.9857684303987,57.2389890419118,39.0911729603801,46.6570746098171,39.2638157832909,40.0982852089477,46.2398791667772,0,38.3243115663148
A1-Airport,10.4162946391596,12.6429887734849,15.2516665472997,7.91401173387283,12.1297956911683,11.0458302415195,11.2797357229143,12.490438099874,22.9409095628524,11.9536684140151,23.6316771882354,10.158190175912,19.6968650381772,16.3776565204869,38.3243115663148,0
