Run,Source,Destination,Distance_km,SINR_DRL,SINR_Direct,SINR_UAV_DF,SINR_TwoHop,SINR_UAV_AF,Outage_DRL,Outage_Direct,Outage_UAV_DF,Outage_TwoHop,Outage_UAV_AF,Reliability_DRL,Reliability_Direct,Reliability_UAV_DF,Reliability_TwoHop,Reliability_UAV_AF
1,6,15,27.728765193701,3.36280340944992,8.92673674549951,16.452486637099,10.7122189473046,13.3933147198171,1,1,0,0,0,0.630640136325952,0.879823202236512,0.977620735542779,0.918627407583924,0.955252825610864
2,11,9,18.6521145813571,-4.51404452314842,13.2317981326338,20.7575480242333,18.596612838398,17.7290473228828,1,0,0,0,0,0.0591598621594766,0.953597269428754,0.99163583521224,0.986280371094786,0.983272258430113
3,3,1,12.1626470045718,11.3074035808128,17.8742974391309,25.4000473307304,20.4954040431734,22.3834893584505,0,0,0,0,0,0.928667275370504,0.983817990478942,0.997120154660918,0.991117736349029,0.994240333245982
4,13,10,15.5671690941281,-0.433692519572308,15.194758928861,22.7205088204605,15.0750115387506,19.6986177878878,1,0,0,0,0,0.331205005181475,0.97021655093131,0.994669241854867,0.969396780747453,0.989338635664845
5,11,1,26.6856883226271,-4.41652546639103,9.34303976636335,16.8687896579629,13.7256965668728,13.8140621803969,1,1,0,0,0,0.0629931767430481,0.89018039076998,0.979645373725103,0.958480274479823,0.959299280704147
6,15,13,23.5240038662519,-5.21358957013473,10.7122189473046,18.2379688389041,8.92673674549951,15.1952100062406,1,0,0,1,0,0.0360918242747889,0.918627407583924,0.985108133233097,0.879823202236512,0.970219597687147
7,4,3,15.2768499344272,5.20192445902844,15.399154686436,22.9249045780356,16.9257703066477,19.9035457502728,1,0,0,0,0,0.739440558548847,0.97156614303009,0.994913691283387,0.979908004306076,0.989827514542721
8,3,5,9.7394745508365,11.7519910511193,20.286611821946,27.8123617135455,20.4352523373436,24.7984697386849,0,0,0,0,0,0.935378743809405,0.990682323873361,0.998346498749131,0.990994416632696,0.996693002023405
9,8,7,5.99081633584077,4.3065987784297,25.5628498659977,33.0885997575972,20.240567256366,30.0772335951873,1,0,0,0,0,0.690063857977053,0.997225964963805,0.999509054374189,0.990583479967946,0.999018108866743
10,5,10,17.2944369853903,10.0539459778474,14.0523392932761,21.5780891848756,21.0948570962039,18.5527165112958,0,0,0,0,0,0.905955101672077,0.961429715925499,0.993070816443504,0.992258452428228,0.986141966926683
11,3,5,9.7394745508365,11.8373446649957,20.286611821946,27.8123617135455,20.4352523373436,24.7984697386849,0,0,0,0,0,0.936595623511958,0.990682323873361,0.998346498749131,0.990994416632696,0.996693002023405
12,6,7,17.5149308775224,4.42144929793696,13.9147893070298,21.4405391986293,17.9654164580109,18.4146823685029,1,0,0,0,0,0.696777408659357,0.960213584014906,0.992848641741507,0.984151290475781,0.985697650742913
13,12,3,24.9275298177994,0.844629209217435,10.0830188894423,17.6087687810418,12.1297864664039,14.5609714189903,1,0,0,0,0,0.438998131577496,0.90655228346366,0.9828065674355,0.940599303415155,0.965618268461796
14,8,9,11.3310059129047,3.2269099430406,18.6432883455776,26.1690382371771,18.596612838398,23.1534951784912,1,0,0,0,0,0.621466324976428,0.986426032408749,0.997586920361593,0.986280371094786,0.995173854794215
15,1,10,8.86464887128713,5.87570591664279,21.3084615531347,28.8342114447343,20.7385457622098,25.8210723193524,1,0,0,0,0,0.772223343221077,0.992628629610209,0.998692941948267,0.991599312681522,0.997385886131216
16,3,1,12.1626470045718,12.0803913004959,17.8742974391309,25.4000473307304,20.4954040431734,22.3834893584505,0,0,0,0,0,0.939940666384016,0.983817990478942,0.997120154660918,0.991117736349029,0.994240333245982
17,15,13,23.5240038662519,-4.40481604360557,10.7122189473046,18.2379688389041,8.92673674549951,15.1952100062406,1,0,0,1,0,0.0634638606880345,0.918627407583924,0.985108133233097,0.879823202236512,0.970219597687147
18,5,2,9.60704680368992,7.66910531621083,20.4352523373436,27.9610022289431,20.286611821946,24.94723106524,1,0,0,0,0,0.842790589462109,0.990994416632696,0.998402089082863,0.990682323873361,0.996804182249506
19,11,7,22.7344833521603,-4.14671565319221,11.0828727704232,18.6086226620227,17.2342711452911,15.5685100565659,1,0,0,0,0,0.0744078420380818,0.92502784065225,0.986317998074175,0.981272740865706,0.97263857782037
20,2,8,18.6224821056684,9.83254189835629,13.2490608591709,20.7748107507704,17.1537435703203,17.7463821012922,1,0,0,0,0,0.901287332230121,0.953777027477342,0.991668877253926,0.980925621611558,0.983338335561209
21,1,14,18.6205568919945,6.13343029388806,13.2501833638031,20.7759332554026,19.3995392933986,17.7475092812118,1,0,0,0,0,0.783810022440672,0.953788692649008,0.991671021298373,0.98858292094544,0.98334262320089
22,4,10,9.34239379613073,5.90814272326196,20.7385457622098,28.2642956538093,21.3084615531347,25.2507585467306,1,0,0,0,0,0.773710042067227,0.991599312681522,0.998509792862568,0.992628629610209,0.997019589037341
23,5,8,22.7754510385095,8.86640865016243,11.0633253406566,18.5890752322561,14.3309582660984,15.5488286013809,1,0,0,0,0,0.878248900061469,0.924702697750219,0.986256703182049,0.963782512462315,0.972516022981984
24,9,3,32.2968008738508,1.84053079136894,7.2710123532102,14.7967622448097,8.36725088862462,11.7150940798461,1,1,0,1,0,0.519672657815963,0.829065804171412,0.967405234354896,0.864470525512996,0.934845756104278
25,15,12,39.1470158884284,-5.45669424865258,5.18253344716436,12.7082833387639,10.7122189473046,9.58312298733291,1,1,0,0,1,0.0298094618256662,0.738442390640185,0.947810350755436,0.918627407583924,0.895767175674122
26,15,14,46.2377919769938,-5.6178684917056,3.37507283089893,10.9008227224985,10.7122189473046,7.71754337365359,1,1,0,0,1,0.0261018338751764,0.631460884956803,0.921946894807982,0.918627407583924,0.844390898650678
27,9,14,11.3798224576353,0.494532070470509,18.596612838398,26.1223627299975,18.6432883455776,23.1067630520826,1,0,0,0,0,0.409682109376589,0.986280371094786,0.997560877910706,0.986426032408749,0.995121770353169
28,2,3,3.20944883581781,10.2520994150242,32.3392385832993,39.8649884748989,20.286611821946,36.8544645201933,0,0,0,0,0,0.909954699041941,0.999416622826275,0.999896847738862,0.990682323873361,0.999793695478822
29,1,5,9.04077614844034,7.20189611467165,21.0948570962039,28.6206069878035,21.5704698740454,25.6073247780844,1,0,0,0,0,0.826576424634115,0.992258452428228,0.998627093353122,0.993058691462956,0.99725418929607
30,6,5,8.61308530386883,2.64340099023084,21.621031287911,29.1467811795105,21.5704698740454,26.1338391542835,1,0,0,0,0,0.580377563342108,0.993138758676957,0.998783652626712,0.993058691462956,0.997567307054288
31,13,6,12.3695200152467,-1.73689339952281,17.6911788083305,25.21692869993,16.2652396910464,22.2001014212719,1,0,0,0,0,0.224983780976007,0.983127005221702,0.996996317178278,0.976646348189039,0.993992661503597
32,5,9,34.0999599936143,8.30813762400158,6.68115326313676,14.2069031547363,11.0633253406566,11.1149496751092,1,1,0,0,0,0.862746866229697,0.806762446968437,0.962752840252946,0.924702697750219,0.925558477429497
33,3,13,29.2187727537186,10.9584690222559,8.35845073115959,15.8842006227591,15.399154686436,12.8182400193248,0,1,0,0,0,0.922935366743263,0.864215192382228,0.974532278338729,0.97156614303009,0.949081320493547
34,2,15,43.6203081051418,9.67282890582526,4.00778177940387,11.5335316710034,6.63598490865003,8.37330356672879,1,1,0,1,1,0.897785220465552,0.672068860652892,0.932160674542465,0.804953385594861,0.864645885221248
35,12,3,24.9275298177994,-0.369406778373904,10.0830188894423,17.6087687810418,12.1297864664039,14.5609714189903,1,0,0,0,0,0.33662646971885,0.90655228346366,0.9828065674355,0.940599303415155,0.965618268461796
36,1,13,18.4307299953762,6.84791852619921,13.3614365778992,20.8871864694987,16.2652396910464,17.8592199508888,1,0,0,0,0,0.813314806725879,0.95493070597813,0.991880817538899,0.976646348189039,0.983762172838285
37,11,12,13.4822317232834,-4.9801386121156,16.75595531949,24.2817052110895,19.4796922093112,21.2633109596632,1,0,0,0,0,0.0429444103939067,0.979115242605637,0.996275915329163,0.988790526182259,0.992551882419137
38,2,6,16.5138428723251,8.98328804849366,14.5537962997986,22.0795461913981,20.4352523373436,19.0558146287799,1,0,0,0,0,0.881281731919675,0.965562408660874,0.993824091748089,0.990994416632696,0.987648419905318
39,2,13,27.3743628308807,10.0519444915353,9.06639951818194,16.5921494097815,16.2652396910464,13.5345157437958,0,1,0,0,0,0.905913856740994,0.883395386186624,0.978321237272491,0.976646348189039,0.956652791699577
40,10,5,17.2944369853903,5.35131798509437,14.0523392932761,21.5780891848756,21.0948570962039,18.5527165112958,1,0,0,0,0,0.747026829956735,0.961429715925499,0.993070816443504,0.992258452428228,0.986141966926683
41,1,5,9.04077614844034,6.99913062355467,21.0948570962039,28.6206069878035,21.5704698740454,25.6073247780844,1,0,0,0,0,0.819086014429543,0.992258452428228,0.998627093353122,0.993058691462956,0.99725418929607
42,5,11,34.8617432835536,8.63546886119885,6.4412724878094,13.9670223794089,11.6933771213656,10.8704776656219,1,1,0,0,0,0.872043774057943,0.796984548361253,0.960679756397045,0.93453006800942,0.921421698475112
43,10,14,10.5686235372846,4.48306839805243,19.3995392933986,26.9252891849981,23.1957457975346,23.910583628003,1,0,0,0,0,0.700332973352169,0.98858292094544,0.997972175469024,0.995220466774844,0.995944359286473
44,8,2,18.6224821056684,3.72843112591687,13.2490608591709,20.7748107507704,17.1537435703203,17.7463821012922,1,0,0,0,0,0.654557376215453,0.953777027477342,0.991668877253926,0.980925621611558,0.983338335561209
45,11,12,13.4822317232834,-4.9339643914657,16.75595531949,24.2817052110895,19.4796922093112,21.2633109596632,1,0,0,0,0,0.0443981215832658,0.979115242605637,0.996275915329163,0.988790526182259,0.992551882419137
46,9,12,18.0919731534834,3.0811029643853,13.5628516342831,21.0886015258826,18.596612838398,18.0614340771406,1,0,0,0,0,0.611454588075964,0.956928533038931,0.99224733684947,0.986280371094786,0.98449514177056
47,8,7,5.99081633584077,4.33017683193074,25.5628498659977,33.0885997575972,20.240567256366,30.0772335951873,1,0,0,0,0,0.691451287396251,0.997225964963805,0.999509054374189,0.990583479967946,0.999018108866743
48,1,2,9.55396923075696,5.8893024565615,20.4954040431734,28.0211539347729,17.8742974391309,25.0074304985913,1,0,0,0,0,0.772847526650204,0.991117736349029,0.998424050965047,0.983817990478942,0.996848105847743
49,1,10,8.86464887128713,5.29742041296845,21.3084615531347,28.8342114447343,20.7385457622098,25.8210723193524,1,0,0,0,0,0.744311039059334,0.992628629610209,0.998692941948267,0.991599312681522,0.997385886131216
50,5,8,22.7754510385095,8.7439732166054,11.0633253406566,18.5890752322561,14.3309582660984,15.5488286013809,1,0,0,0,0,0.874994807551637,0.924702697750219,0.986256703182049,0.963782512462315,0.972516022981984
