PointID,Latitude,Longitude,TempC,PressurehPa,HumidityPct,WindSpeedMS,WindDirDeg,WindGustMS,Status,TimestampUTC
1,13.0023988590297,80.1111569679287,NaN,NaN,NaN,NaN,NaN,NaN,ERROR,2026-03-30 06:32:46
2,13.1835643905451,79.9000646638076,33.77,1009,22,5.16,165,5.15,OK,2026-03-30 06:32:46
3,12.8058493160592,80.2138800332677,33.35,1010,74,6.91,159,6.49,OK,2026-03-30 06:32:46
4,13.0756457978348,80.2692592161136,33.2,1011,64,4.63,200,NaN,OK,2026-03-30 06:32:46
5,12.8418221802959,80.04774248473,33.14,1009,74,7.14,151,5.97,OK,2026-03-30 06:32:46
6,13.1475915263083,80.04774248473,33.42,1009,65,6.97,147,5.79,OK,2026-03-30 06:32:46
7,13.0216865014797,79.9739035742688,33.54,1009,68,6.59,153,5.64,OK,2026-03-30 06:32:46
8,12.9497407730062,80.232339760883,33.52,1010,69,4.63,200,NaN,OK,2026-03-30 06:32:46
9,13.1116186620716,80.1585008504218,33.17,1009,64,4.63,200,NaN,OK,2026-03-30 06:32:46
10,12.8957814766511,80.1400411228065,33.37,1010,70,4.63,200,NaN,OK,2026-03-30 06:32:46
11,12.9317543408878,80.0108230294994,33.43,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
12,13.1116186620716,79.9554438466535,33.71,1009,67,5.81,158,5.34,OK,2026-03-30 06:32:46
13,13.0576593657164,80.04774248473,33.61,1009,67,4.63,200,NaN,OK,2026-03-30 06:32:46
14,13.0216865014797,80.1954203056524,33.77,1010,65,4.63,200,NaN,OK,2026-03-30 06:32:46
15,12.8238357481776,80.1215813951912,33.11,1010,71,4.63,200,NaN,OK,2026-03-30 06:32:46
16,12.8777950445327,80.2138800332677,33.45,1010,70,4.63,200,NaN,OK,2026-03-30 06:32:46
17,12.9317543408878,80.0846619399606,33.44,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
18,12.9857136372429,80.04774248473,33.51,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
19,12.9677272051246,80.1585008504218,33.21,1010,69,4.63,200,NaN,OK,2026-03-30 06:32:46
20,13.1655779584267,79.9739035742688,33.56,1009,24,6.29,151,5.5,OK,2026-03-30 06:32:46
21,13.0756457978348,80.1031216675759,33.71,1009,65,4.63,200,NaN,OK,2026-03-30 06:32:46
22,13.0936322299532,80.2138800332677,33.16,1010,63,4.63,200,NaN,OK,2026-03-30 06:32:46
23,13.0037000693613,80.2507994884983,33.58,1010,65,4.63,200,NaN,OK,2026-03-30 06:32:46
24,13.1296050941899,80.1031216675759,33.24,1009,63,4.63,200,NaN,OK,2026-03-30 06:32:46
25,13.0756457978348,79.9923633018841,33.55,1009,67,6.49,152,5.59,OK,2026-03-30 06:32:46
26,12.8957814766511,80.04774248473,33.35,1009,70,4.63,200,NaN,OK,2026-03-30 06:32:46
27,13.0576593657164,80.1585008504218,33.53,1009,64,4.63,200,NaN,OK,2026-03-30 06:32:46
28,12.8418221802959,80.1769605780371,33.4,1010,70,4.63,200,NaN,OK,2026-03-30 06:32:46
29,13.1475915263083,79.9185243914229,33.77,1009,22,5.46,161,5.23,OK,2026-03-30 06:32:46
30,13.0576593657164,79.9554438466535,NaN,NaN,NaN,NaN,NaN,NaN,ERROR,2026-03-30 06:32:46
31,12.9677272051246,79.9923633018841,33.47,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
32,13.1296050941899,79.9923633018841,33.58,1009,67,6.36,152,5.53,OK,2026-03-30 06:32:46
33,13.0037000693613,80.0108230294994,33.43,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
34,13.0936322299532,80.0292827571147,33.62,1009,64,4.63,200,NaN,OK,2026-03-30 06:32:46
35,13.0216865014797,80.0662022123453,33.59,1009,68,4.63,200,NaN,OK,2026-03-30 06:32:46
36,13.1116186620716,80.0662022123453,33.56,1009,64,4.63,200,NaN,OK,2026-03-30 06:32:46
37,12.8598086124143,80.0846619399606,33.15,1009,72,4.63,200,NaN,OK,2026-03-30 06:32:46
38,12.9497407730062,80.1215813951912,33.4,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
39,12.8058493160592,80.1585008504218,33.25,1010,74,7.08,155,6.3,OK,2026-03-30 06:32:46
40,12.9137679087694,80.1769605780371,NaN,NaN,NaN,NaN,NaN,NaN,ERROR,2026-03-30 06:32:46
41,12.9857136372429,80.2138800332677,33.62,1010,68,4.63,200,NaN,OK,2026-03-30 06:32:46
42,13.0396729335981,80.232339760883,33.17,1010,64,4.63,200,NaN,OK,2026-03-30 06:32:46
43,13.0396729335981,80.1215813951912,33.7,1009,67,4.63,200,NaN,OK,2026-03-30 06:32:46
44,13.1835643905451,79.9369841190382,33.77,1009,22,5.66,157,5.29,OK,2026-03-30 06:32:46
45,13.0396729335981,80.0108230294994,33.47,1009,68,4.63,200,NaN,OK,2026-03-30 06:32:46
46,12.9317543408878,80.04774248473,33.45,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
47,12.8238357481776,80.0846619399606,33.11,1010,74,7.18,152,6.09,OK,2026-03-30 06:32:46
48,12.8957814766511,80.0846619399606,33.31,1009,70,4.63,200,NaN,OK,2026-03-30 06:32:46
49,12.9677272051246,80.0846619399606,33.46,1009,69,4.63,200,NaN,OK,2026-03-30 06:32:46
50,12.8598086124143,80.1215813951912,33.28,1010,70,4.63,200,NaN,OK,2026-03-30 06:32:46
51,13.0037000693613,80.1585008504218,33.63,1009,67,4.63,200,NaN,OK,2026-03-30 06:32:46
52,12.8777950445327,80.1769605780371,33.39,1010,70,4.63,200,NaN,OK,2026-03-30 06:32:46
53,12.9497407730062,80.1954203056524,33.48,1010,69,4.63,200,NaN,OK,2026-03-30 06:32:46
54,13.0576593657164,80.1954203056524,33.15,1010,64,4.63,200,NaN,OK,2026-03-30 06:32:46
55,12.8418221802959,80.2138800332677,33.42,1010,70,4.63,200,NaN,OK,2026-03-30 06:32:46
56,12.9137679087694,80.2138800332677,33.47,1010,70,4.63,200,NaN,OK,2026-03-30 06:32:46
57,13.0936322299532,79.9369841190382,33.7,1009,67,5.87,158,5.37,OK,2026-03-30 06:32:46
58,13.1296050941899,79.9369841190382,33.7,1009,23,5.74,158,5.32,OK,2026-03-30 06:32:46
59,13.1475915263083,79.9554438466535,33.61,1009,23,5.74,158,5.32,OK,2026-03-30 06:32:46
60,13.0936322299532,79.9739035742688,33.55,1009,67,6.49,152,5.59,OK,2026-03-30 06:32:46
