Name,Latitude,Longitude
MIOT Hospitals,13.0212213,80.1839951
Government Royapettah Hospital,13.0554981,80.2648512
Rajiv Gandhi Govt General Hospital,13.0815311,80.2776431
Sri Ramachandra Medical Centre,13.0392523,80.1434904
Frontline Hospital,13.1022933,80.1903163
Velammal Medical College,13.0792928,80.1144087
Dr Kamakshi Memorial,12.9518467,80.2094059
Gleneagles Health City,12.8980580,80.2062485
Chettinad Hospital,12.7968561,80.2184882
Sree Balaji Medical College,12.9554166,80.1378104
SRM Medical College,12.8210435,80.0481410
Hindu Mission Hospital,12.9238515,80.1141072
Saveetha Medical College,13.0264032,80.0139753
Tagore Medical College,12.8603845,80.1361455
Karpagam Hospital,13.2006399,79.8908348
